"EqO"	"SUL"	"Method"	"Reused"	"EQs"	"MQs"	"TQs"	"Rounds"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"WpMethodHypEQOracle"	"cli_098za"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_098za"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_098za"	"∂L*M"	"cli_098j"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098za"	"Adp"	"cli_101"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_098za"	"DL*M"	"cli_101"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_098za"	"DL*M+"	"cli_101"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_098za"	"∂L*M"	"cli_101"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"Adp"	"cli_098j"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"∂L*M"	"cli_098j"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M"	"cli_098za"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"Adp"	"cli_098za"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M+"	"cli_098za"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"∂L*M"	"cli_098za"	0	256	256	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_098j"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_098j"	0	436	436	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_098m"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_098m"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_098m"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_098m"	0	436	436	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"Adp"	"cli_098j"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"∂L*M"	"cli_098j"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"Adp"	"cli_100m"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M"	"cli_100m"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"DL*M+"	"cli_100m"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_101h"	"∂L*M"	"cli_100m"	0	256	256	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_102"	"Adp"	"cli_098j"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_102"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_102"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_102"	"∂L*M"	"cli_098j"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_102"	"Adp"	"cli_101h"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_102"	"DL*M"	"cli_101h"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_102"	"DL*M+"	"cli_101h"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_102"	"∂L*M"	"cli_101h"	0	256	256	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_110-pre1"	"Adp"	"cli_098j"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_110-pre1"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_110-pre1"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_110-pre1"	"∂L*M"	"cli_098j"	0	264	264	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_110-pre1"	"Adp"	"cli_102"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_110-pre1"	"DL*M"	"cli_102"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_110-pre1"	"DL*M+"	"cli_102"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_110-pre1"	"∂L*M"	"cli_102"	0	256	256	1	"null"	"null"	"null"	"null"
